locus_tag	kegg_pathway_id	kegg_pathway	organism
spr0065	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0244	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0262	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0276	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0441	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0506	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0530	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0584	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0796	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0797	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1028	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1036	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1048	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1049	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1050	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1051	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1100	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1351	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1432	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1499	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1528	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1825	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1837	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1882	spr00010	Glycolysis / Gluconeogenesis	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1048	spr00020	Citrate cycle (TCA cycle)	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1049	spr00020	Citrate cycle (TCA cycle)	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1050	spr00020	Citrate cycle (TCA cycle)	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1051	spr00020	Citrate cycle (TCA cycle)	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0028	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0287	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0288	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0335	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0530	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0731	spr00030	Pentose phosphate pathway	Streptococcus pneumoniae ATCC BAA-255 / R6
