locus_tag	kegg_pathway_id	kegg_pathway
SPy_0044	spy00010	Glycolysis / Gluconeogenesis
SPy_0215	spy00010	Glycolysis / Gluconeogenesis
SPy_0274	spy00010	Glycolysis / Gluconeogenesis
SPy_0574	spy00010	Glycolysis / Gluconeogenesis
SPy_0613	spy00010	Glycolysis / Gluconeogenesis
SPy_0731	spy00010	Glycolysis / Gluconeogenesis
SPy_1026	spy00010	Glycolysis / Gluconeogenesis
SPy_1028	spy00010	Glycolysis / Gluconeogenesis
SPy_1029	spy00010	Glycolysis / Gluconeogenesis
SPy_1031	spy00010	Glycolysis / Gluconeogenesis
SPy_1151	spy00010	Glycolysis / Gluconeogenesis
SPy_1224	spy00010	Glycolysis / Gluconeogenesis
SPy_1282	spy00010	Glycolysis / Gluconeogenesis
SPy_1283	spy00010	Glycolysis / Gluconeogenesis
SPy_1328	spy00010	Glycolysis / Gluconeogenesis
SPy_1371	spy00010	Glycolysis / Gluconeogenesis
SPy_1429	spy00010	Glycolysis / Gluconeogenesis
SPy_1529	spy00010	Glycolysis / Gluconeogenesis
SPy_1881	spy00010	Glycolysis / Gluconeogenesis
SPy_1889	spy00010	Glycolysis / Gluconeogenesis
SPy_1026	spy00020	Citrate cycle (TCA cycle)
SPy_1028	spy00020	Citrate cycle (TCA cycle)
SPy_1029	spy00020	Citrate cycle (TCA cycle)
SPy_1031	spy00020	Citrate cycle (TCA cycle)
SPy_0020	spy00030	Pentose phosphate pathway
SPy_0215	spy00030	Pentose phosphate pathway
SPy_0264	spy00030	Pentose phosphate pathway
SPy_0638	spy00030	Pentose phosphate pathway
SPy_0639	spy00030	Pentose phosphate pathway
SPy_0889	spy00030	Pentose phosphate pathway
SPy_0890	spy00030	Pentose phosphate pathway
SPy_1123	spy00030	Pentose phosphate pathway
SPy_1224	spy00030	Pentose phosphate pathway
SPy_1283	spy00030	Pentose phosphate pathway
SPy_1371	spy00030	Pentose phosphate pathway
SPy_1676	spy00030	Pentose phosphate pathway
SPy_1678	spy00030	Pentose phosphate pathway
SPy_1867	spy00030	Pentose phosphate pathway
SPy_1889	spy00030	Pentose phosphate pathway
SPy_1947	spy00030	Pentose phosphate pathway
SPy_0177	spy00040	Pentose and glucuronate interconversions
SPy_0178	spy00040	Pentose and glucuronate interconversions
SPy_0179	spy00040	Pentose and glucuronate interconversions
SPy_0224	spy00040	Pentose and glucuronate interconversions
SPy_0264	spy00040	Pentose and glucuronate interconversions
SPy_0542	spy00040	Pentose and glucuronate interconversions
SPy_2201	spy00040	Pentose and glucuronate interconversions
SPy_2202	spy00040	Pentose and glucuronate interconversions
SPy_0613	spy00051	Fructose and mannose metabolism
SPy_0854	spy00051	Fructose and mannose metabolism
SPy_0855	spy00051	Fructose and mannose metabolism
SPy_1057	spy00051	Fructose and mannose metabolism
SPy_1059	spy00051	Fructose and mannose metabolism
SPy_1060	spy00051	Fructose and mannose metabolism
SPy_1283	spy00051	Fructose and mannose metabolism
SPy_1503	spy00051	Fructose and mannose metabolism
SPy_1738	spy00051	Fructose and mannose metabolism
SPy_1739	spy00051	Fructose and mannose metabolism
SPy_1740	spy00051	Fructose and mannose metabolism
SPy_1810	spy00051	Fructose and mannose metabolism
SPy_1811	spy00051	Fructose and mannose metabolism
SPy_1889	spy00051	Fructose and mannose metabolism
SPy_0224	spy00052	Galactose metabolism
SPy_0629	spy00052	Galactose metabolism
SPy_0630	spy00052	Galactose metabolism
SPy_0631	spy00052	Galactose metabolism
SPy_0634	spy00052	Galactose metabolism
SPy_0716	spy00052	Galactose metabolism
SPy_1224	spy00052	Galactose metabolism
SPy_1283	spy00052	Galactose metabolism
SPy_1529	spy00052	Galactose metabolism
SPy_1586	spy00052	Galactose metabolism
SPy_1704	spy00052	Galactose metabolism
SPy_1707	spy00052	Galactose metabolism
SPy_1708	spy00052	Galactose metabolism
SPy_1816	spy00052	Galactose metabolism
SPy_1916	spy00052	Galactose metabolism
SPy_1917	spy00052	Galactose metabolism
SPy_1918	spy00052	Galactose metabolism
SPy_1919	spy00052	Galactose metabolism
SPy_1921	spy00052	Galactose metabolism
SPy_1922	spy00052	Galactose metabolism
SPy_1923	spy00052	Galactose metabolism
SPy_2202	spy00052	Galactose metabolism
SPy_0174	spy00053	Ascorbate and aldarate metabolism
SPy_0175	spy00053	Ascorbate and aldarate metabolism
