uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
C0SP85	reviewed	YUKE_BACSU	Protein YukE	yukE BSU31910	Bacillus subtilis 168	NP_391069.2; NC_000964.3.;WP_003220661.1; NZ_JNCM01000033.1.;	97	BSU31910	NA	GO:0005576	NA	secreted
C0SPC1	reviewed	CCRZ_BACSU	Cell cycle regulator CcrZ (EC 2.7.1.15) (EC 2.7.1.229) (Cell cycle regulator protein interacting with FtsZ)	ccrZ ytmP BSU29920	Bacillus subtilis 168	NP_390870.2; NC_000964.3.;WP_010886595.1; NC_000964.3.;	269	BSU29920	NA	GO:0004747; GO:0005524; GO:0005737; GO:0006270; GO:0006974; GO:0007049; GO:0016773; GO:0019200; GO:0051301	cell cycle [GO:0007049]; cell division [GO:0051301]; DNA damage response [GO:0006974]; DNA replication initiation [GO:0006270]	cytoplasm
O05394	reviewed	MCCB_BACSU	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Homocysteine gamma-lyase) (EC 4.4.1.2)	mccB yrhB BSU27250	Bacillus subtilis 168	NP_390603.1; NC_000964.3.;WP_003229810.1; NZ_JNCM01000036.1.;	379	BSU27250	NA	GO:0003962; GO:0004123; GO:0005737; GO:0008284; GO:0019343; GO:0019346; GO:0030170; GO:0043418; GO:0044540; GO:0047982; GO:0080146	cysteine biosynthetic process via cystathionine [GO:0019343]; homocysteine catabolic process [GO:0043418]; positive regulation of cell population proliferation [GO:0008284]; transsulfuration [GO:0019346]	unknown
O05512	reviewed	MANB_BACSU	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (1,4-beta-D-mannan mannanohydrolase) (Beta-mannanase) (Glucomannan utilization protein G)	gmuG ydhT BSU05880	Bacillus subtilis 168	NP_388469.2; NC_000964.3.;WP_003244107.1; NZ_JNCM01000031.1.;	362	BSU05880	NA	GO:0000272; GO:0005576; GO:0006080; GO:0016985	polysaccharide catabolic process [GO:0000272]; substituted mannan metabolic process [GO:0006080]	secreted
O06728	reviewed	YISP_BACSU	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)	yisP yucD BSU10810	Bacillus subtilis 168	NP_388961.1; NC_000964.3.;WP_010886471.1; NZ_JNCM01000035.1.;	267	BSU10810	NA	GO:0016117; GO:0016767; GO:0046905	carotenoid biosynthetic process [GO:0016117]	unknown
O06967	reviewed	BMRA_BACSU	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 7.6.2.-)	bmrA yvcC BSU34820	Bacillus subtilis 168	NP_391362.1; NC_000964.3.;WP_003243345.1; NZ_JNCM01000033.1.;	589	BSU34820	NA	GO:0005524; GO:0005886; GO:0016887; GO:0034040; GO:0046677; GO:0055085; GO:0140359	response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]	inner membrane
O07006	reviewed	PADC_BACSU	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)	padC pad yveH BSU34400	Bacillus subtilis 168	NP_391320.1; NC_000964.3.;WP_003243190.1; NZ_JNCM01000033.1.;	161	BSU34400	NA	GO:0009636; GO:0016831; GO:0019439	aromatic compound catabolic process [GO:0019439]; response to toxic substance [GO:0009636]	unknown
O07012	reviewed	BGAL2_BACSU	Beta-galactosidase GanA (Beta-gal) (EC 3.2.1.23) (Beta-1,4-galactooligomerase) (Galactooligomerase)	ganA galO lacA yvfN BSU34130	Bacillus subtilis 168	NP_391293.1; NC_000964.3.;WP_010886616.1; NZ_JNCM01000033.1.;	672	BSU34130	NA	GO:0004565; GO:0006012; GO:0009341; GO:0046872	galactose metabolic process [GO:0006012]	unknown
O07532	reviewed	LYTF_BACSU	Peptidoglycan endopeptidase LytF (EC 3.4.-.-) (Autolysin LytF) (Cell wall-associated polypeptide CWBP49') (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytF) (Peptidoglycan hydrolase LytF) (Vegetative cell wall hydrolase LytF)	lytF cwlE yhdD BSU09370	Bacillus subtilis 168	NP_388818.2; NC_000964.3.;WP_003244874.1; NZ_JNCM01000035.1.;	488	BSU09370	NA	GO:0005576; GO:0006508; GO:0008234; GO:0008932; GO:0071555	cell wall organization [GO:0071555]; proteolysis [GO:0006508]	secreted
O07566	reviewed	NTDA_BACSU	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)	ntdA yhjL BSU10550	Bacillus subtilis 168	NP_388936.1; NC_000964.3.;WP_003245503.1; NZ_JNCM01000035.1.;	441	BSU10550	PATHWAY: Antibiotic biosynthesis; kanosamine biosynthesis.	GO:0000271; GO:0008483; GO:0017000; GO:0030170	antibiotic biosynthetic process [GO:0017000]; polysaccharide biosynthetic process [GO:0000271]	unknown
