uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
A0A0F6B9F0	unreviewed	A0A0F6B9F0_SALT1	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB STM14_4789	Salmonella typhimurium 14028s / SGSC 2262	588858	NA	771	STM14_4789	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000256|ARBA:ARBA00005005, ECO:0000256|HAMAP-Rule:MF_01621}.	GO:0003857; GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0036125; GO:0070403	fatty acid beta-oxidation [GO:0006635]	unknown
A0A0F6BAM0	unreviewed	A0A0F6BAM0_SALT1	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	yjeF nnrD nnrE STM14_5237	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000968675.1; NZ_CP043402.1.;	515	STM14_5237	NA	GO:0005524; GO:0046496; GO:0046872; GO:0047453; GO:0052855; GO:0052856; GO:0052857; GO:0110051	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]	unknown
D0ZKX9	reviewed	RSEP_SALT1	Regulator of sigma-E protease RseP (EC 3.4.24.-) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease)	rsep yaeL STM14_0265	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000949017.1; NZ_CP043402.1.;	450	STM14_0265	NA	GO:0004222; GO:0005886; GO:0006508; GO:0009266; GO:0046872; GO:0097533	cellular stress response to acid chemical [GO:0097533]; proteolysis [GO:0006508]; response to temperature stimulus [GO:0009266]	inner membrane
D0ZPH9	reviewed	SSPH2_SALT1	E3 ubiquitin-protein ligase SspH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SspH2) (Salmonella secreted protein H2) (Secreted effector protein sspH2)	sspH2 STM14_2769	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001115840.1; NZ_CP043402.1.;	788	STM14_2769	NA	GO:0004842; GO:0005576; GO:0016020; GO:0016567; GO:0020002; GO:0030254; GO:0030430	protein secretion by the type III secretion system [GO:0030254]; protein ubiquitination [GO:0016567]	cytoplasm
D0ZV89	reviewed	PHOQ_SALT1	Virulence sensor histidine kinase PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ STM14_1408	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001031687.1; NZ_CP043402.1.;	487	STM14_1408	NA	GO:0000155; GO:0004721; GO:0005524; GO:0005886; GO:0046872	NA	inner membrane
D0ZVG2	reviewed	SSPH1_SALT1	E3 ubiquitin-protein ligase SspH1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SspH1) (Salmonella secreted protein H1) (Secreted effector protein SspH1)	sspH1 STM14_1483	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000481981.1; NZ_CP043402.1.;	700	STM14_1483	NA	GO:0004842; GO:0005576; GO:0016567; GO:0030254; GO:0030430; GO:0042025	protein secretion by the type III secretion system [GO:0030254]; protein ubiquitination [GO:0016567]	secreted
A0A0F6AWB8	unreviewed	A0A0F6AWB8_SALT1	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA STM14_0002	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001264681.1; NZ_CP043402.1.;	820	STM14_0002	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000256|ARBA:ARBA00004766, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000256|ARBA:ARBA00004986, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000256|ARBA:ARBA00005062, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000256|ARBA:ARBA00005139, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000256|ARBA:ARBA00005056, ECO:0000256|PIRNR:PIRNR000727}.	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0050661	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]	unknown
A0A0F6AWJ4	unreviewed	A0A0F6AWJ4_SALT1	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB STM14_0078	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001126305.1; NZ_CP043402.1.;	1075	STM14_0078	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|ARBA:ARBA00005077, ECO:0000256|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01210}.	GO:0004070; GO:0004087; GO:0004088; GO:0004151; GO:0005524; GO:0005829; GO:0006207; GO:0006228; GO:0006526; GO:0006541; GO:0019240; GO:0044205; GO:0046872	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; glutamine metabolic process [GO:0006541]; UTP biosynthetic process [GO:0006228]	unknown
A0A0F6AWR5	unreviewed	A0A0F6AWR5_SALT1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE STM14_0149	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000775077.1; NZ_CP043402.1.;	495	STM14_0149	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00208, ECO:0000256|RuleBase:RU004135}.	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm
A0A0F6AXC3	unreviewed	A0A0F6AXC3_SALT1	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	gpt STM14_0373	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001292018.1; NZ_CP043402.1.;	152	STM14_0373	PATHWAY: Purine metabolism; GMP biosynthesis via salvage pathway; GMP from guanine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01903}.; PATHWAY: Purine metabolism; XMP biosynthesis via salvage pathway; XMP from xanthine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01903}.	GO:0000287; GO:0000310; GO:0004422; GO:0005829; GO:0005886; GO:0006166; GO:0032263; GO:0032264; GO:0032265; GO:0052657	GMP salvage [GO:0032263]; IMP salvage [GO:0032264]; purine ribonucleoside salvage [GO:0006166]; XMP salvage [GO:0032265]	inner membrane
