uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
O08333	reviewed	PFP_STRCO	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	pfkA1 pfk1 pfkA pfp SCO2119 SC6E10.13c	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_626376.1; NC_003888.3.;WP_003976696.1; NZ_VNID01000001.1.;	NA	342	SCO2119	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. {ECO:0000255|HAMAP-Rule:MF_01976}.	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0047334; GO:0048029; GO:0061621; GO:0070095	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	cytoplasm
O88037	reviewed	RAMC_STRCO	Probable SapB synthase (EC 2.7.-.-)	ramC SCO6681	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_630756.1; NC_003888.3.;	NA	930	SCO6681	NA	GO:0004674; GO:0005524; GO:0005886; GO:0016310; GO:0031179	peptide modification [GO:0031179]; phosphorylation [GO:0016310]	inner membrane
O88038	reviewed	LANSB_STRCO	Lanthionine-containing peptide SapB precursor RamS (ProSapB) [Cleaved into: Lanthionine-containing peptide SapB (Morphogen SapB) (Rapid aerial mycelium protein S) (Spore-associated protein B)]	ramS SCO6682 SC5A7.32	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_630757.1; NC_003888.3.;WP_003972313.1; NZ_VNID01000002.1.;	NA	42	SCO6682	NA	GO:0005576; GO:0005886; GO:0031160	NA	inner membrane
O88070	reviewed	GLNA4_STRCO	Gamma-glutamylethanolamide synthetase GlnA4 (EC 6.3.1.-)	glnA4 SCO1613	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_625889.1; NC_003888.3.;	NA	462	SCO1613	PATHWAY: Amine and polyamine degradation; ethanolamine degradation. {ECO:0000269|PubMed:31113893}.	GO:0000287; GO:0004356; GO:0005524; GO:0006536; GO:0006542; GO:0016874; GO:0016880; GO:0046336; GO:0090548; GO:0090549; GO:1901698	ethanolamine catabolic process [GO:0046336]; glutamate metabolic process [GO:0006536]; glutamine biosynthetic process [GO:0006542]; response to carbon starvation [GO:0090549]; response to nitrate starvation [GO:0090548]; response to nitrogen compound [GO:1901698]	unknown
P15474	reviewed	AROQ_STRCO	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ SCO1961 SCC54.21c	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_626225.1; NC_003888.3.;WP_003976858.1; NZ_VNID01000001.1.;	NA	157	SCO1961	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7.	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	unknown
P16250	reviewed	HIS4_STRCO	Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	priA hisA SCO2050 SC4G6.19c	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_626310.1; NC_003888.3.;WP_003976766.1; NZ_VNID01000001.1.;	NA	240	SCO2050	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 4/9.; PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 3/5.	GO:0000105; GO:0000162; GO:0003949; GO:0004640; GO:0005737	histidine biosynthetic process [GO:0000105]; tryptophan biosynthetic process [GO:0000162]	cytoplasm
P54741	reviewed	AFSK_STRCO	Serine/threonine-protein kinase AfsK (EC 2.7.11.1)	afsK SCO4423 SC6F11.21 SCD6.01	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_733637.1; NC_003888.3.;WP_011029643.1; NZ_VNID01000017.1.;	NA	799	SCO4423	NA	GO:0004674; GO:0005524; GO:0005737; GO:0016043; GO:0016310; GO:0106310	cellular component organization [GO:0016043]; phosphorylation [GO:0016310]	unknown
P95722	reviewed	OBG_STRCO	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg SCO2595 SCC88.06c	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_626832.1; NC_003888.3.;WP_003976206.1; NZ_VNID01000001.1.;	NA	478	SCO2595	NA	GO:0000287; GO:0003924; GO:0005525; GO:0005737; GO:0005886; GO:0042254	ribosome biogenesis [GO:0042254]	cytoplasm
Q06539	reviewed	VDH_STRCO	Valine dehydrogenase (ValDH) (EC 1.4.1.23)	vdh SCO4089 SCD25.25c	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_628270.1; NC_003888.3.;WP_011029424.1; NZ_VNID01000030.1.;	NA	364	SCO4089	PATHWAY: Amino-acid degradation; L-valine degradation.	GO:0004353; GO:0005737; GO:0006574; GO:0043837	valine catabolic process [GO:0006574]	cytoplasm
Q7AKE4	reviewed	RAMR_STRCO	Response regulator RamR (Transcriptional activator RamR)	ramR SCO6685	Streptomyces coelicolor ATCC BAA-471 / A32 / M145	100226	NP_733711.1; NC_003888.3.;WP_011031103.1; NZ_VNID01000002.1.;	NA	202	SCO6685	NA	GO:0003677; GO:0006355	regulation of DNA-templated transcription [GO:0006355]	unknown
