Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	Gene Ontology IDs	Subcellular location [CC]
Q88CC1	reviewed	HGLS_PSEPK	2-oxoadipate dioxygenase/decarboxylase (EC 1.13.11.93) (2-hydroxyglutarate synthase)	hglS ydcJ PP_5260	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	464	PP_5260	PATHWAY: Amino-acid degradation. {ECO:0000269|PubMed:31064836}.	GO:0051213	NA
Q88E10	reviewed	MCPS_PSEPK	Methyl-accepting chemotaxis protein McpS	mcpS PP_4658	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	639	PP_4658	NA	GO:0004888; GO:0005886; GO:0006935; GO:0007165	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q88E47	reviewed	HGD_PSEPK	Homogentisate 1,2-dioxygenase (HGDO) (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	hmgA PP_4621	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	433	PP_4621	PATHWAY: Amino-acid degradation; L-phenylalanine degradation; acetoacetate and fumarate from L-phenylalanine: step 4/6. {ECO:0000255|HAMAP-Rule:MF_00334}.	GO:0000976; GO:0001217; GO:0004411; GO:0005506; GO:0005737; GO:0006559; GO:0006572; GO:0032993; GO:0045892	NA
Q88F88	reviewed	PVDT_PSEPK	Pyoverdine export ATP-binding/permease protein PvdT (EC 7.6.2.-)	pvdT PP_4210	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	654	PP_4210	NA	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0046677	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:36807028}; Multi-pass membrane protein {ECO:0000255}.
Q88FF8	reviewed	CHRR_PSEPK	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))	chrR PP_4138	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	186	PP_4138	NA	GO:0005829; GO:0008753; GO:0010181; GO:0050136	NA
Q88FY2	reviewed	6HN3M_PSEPK	6-hydroxynicotinate 3-monooxygenase (6-HNA monooxygenase) (EC 1.14.13.114) (Nicotinate degradation protein C)	nicC PP_3944	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	382	PP_3944	PATHWAY: Cofactor degradation; nicotinate degradation. {ECO:0000269|PubMed:18678916, ECO:0000305|PubMed:27218267}.	GO:0004497; GO:0019439; GO:0043731; GO:0071949	NA
Q88GJ9	reviewed	BSR_PSEPK	Broad specificity amino-acid racemase (EC 5.1.1.10) (Broad spectrum racemase)	alr PP_3722	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	409	PP_3722	NA	GO:0005829; GO:0008784; GO:0009252; GO:0018113; GO:0030170; GO:0042597; GO:0047679	SUBCELLULAR LOCATION: Periplasm {ECO:0000255|HAMAP-Rule:MF_02212, ECO:0000269|PubMed:30008699}.
Q88JK6	reviewed	PCAY_PSEPK	Methyl-accepting chemotaxis protein PcaY (PcaY_PP)	pcaY PP_2643	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	550	PP_2643	NA	GO:0004888; GO:0005886; GO:0006935; GO:0007165	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Q88JU3	reviewed	DSD_PSEPK	3-dehydroshikimate dehydratase (DSD) (EC 4.2.1.118)	quiC1 quiC PP_2554	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	635	PP_2554	PATHWAY: Aromatic compound metabolism; 3,4-dihydroxybenzoate biosynthesis. {ECO:0000269|PubMed:27706847}.	GO:0000287; GO:0019631; GO:0019633; GO:0046279; GO:0046565	NA
Q88L02	reviewed	FADB_PSEPK	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB PP_2136	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	715	PP_2136	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000255|HAMAP-Rule:MF_01621}.	GO:0003857; GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0036125; GO:0070403	NA
Q88LS1	reviewed	EARP_PSEPK	Protein-arginine rhamnosyltransferase (EC 2.4.1.-) (EF-P arginine rhamnosyltransferase)	earP PP_1857	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	377	PP_1857	NA	GO:0106361	NA
Q88M11	reviewed	MUPP_PSEPK	N-acetylmuramic acid 6-phosphate phosphatase (MurNAc 6-phosphate phosphatase) (MurNAc-6P phosphatase) (EC 3.1.3.105)	mupP gph PP_1764	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	223	PP_1764	PATHWAY: Cell wall biogenesis; peptidoglycan recycling. {ECO:0000269|PubMed:28351914}.	GO:0005829; GO:0006281; GO:0008360; GO:0008967; GO:0009252; GO:0009254; GO:0016311; GO:0016791; GO:0046677; GO:0046872; GO:0071555; GO:0097172	NA
Q88Q83	reviewed	GLYOX_PSEPK	Glycine oxidase (GO) (EC 1.4.3.19)	thiO PP_0612	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	365	PP_0612	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000305|PubMed:26875494}.	GO:0005737; GO:0006520; GO:0009228; GO:0009229; GO:0043799; GO:0071949	NA
Q88QT2	reviewed	MURU_PSEPK	N-acetylmuramate alpha-1-phosphate uridylyltransferase (MurNAc-1P uridylyltransferase) (MurNAc-alpha-1P uridylyltransferase) (EC 2.7.7.99)	murU PP_0406	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	223	PP_0406	PATHWAY: Cell wall biogenesis; peptidoglycan recycling. {ECO:0000269|PubMed:23831760}.	GO:0000287; GO:0002134; GO:0008360; GO:0009252; GO:0009254; GO:0046677; GO:0070569; GO:0071555; GO:0097172; GO:0097367	NA
P0A136	reviewed	KAD_PSEPK	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk PP_1506	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	216	PP_1506	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.	GO:0004017; GO:0004127; GO:0004550; GO:0005524; GO:0005829; GO:0006225; GO:0016310; GO:0033862; GO:0044209; GO:0046705	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00235}.
P0A171	reviewed	RP54_PSEPK	RNA polymerase sigma-54 factor	rpoN ntrA PP_0952	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	497	PP_0952	NA	GO:0000428; GO:0000976; GO:0001216; GO:0006352; GO:0016779; GO:0016987; GO:0032993; GO:0042802; GO:0045893	NA
P59479	reviewed	LEXA2_PSEPK	LexA repressor 2 (EC 3.4.21.88)	lexA2 lexA-2 PP_3116	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	202	PP_3116	NA	GO:0000976; GO:0001217; GO:0004252; GO:0006260; GO:0006281; GO:0006508; GO:0009432; GO:0032993; GO:0045892	NA
P59612	reviewed	ARGJ_PSEPK	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ PP_1346	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	405	PP_1346	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; L-ornithine and N-acetyl-L-glutamate from L-glutamate and N(2)-acetyl-L-ornithine (cyclic): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01106}.; PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 1/4. {ECO:0000255|HAMAP-Rule:MF_01106}.	GO:0004042; GO:0004358; GO:0005737; GO:0006526; GO:0006592; GO:0103045	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01106}.
Q88BX6	reviewed	GLMU_PSEPK	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU PP_5411	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	455	PP_5411	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01631}.	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0019134; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01631}.
Q88C96	unreviewed	Q88C96_PSEPK	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	dfp coaBC PP_5285	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	403	PP_5285	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513	NA
Q88CT0	reviewed	IXTPA_PSEPK	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	PP_5100	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	198	PP_5100	NA	GO:0000166; GO:0005829; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872	NA
Q88CT3	reviewed	METXS_PSEPK	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)	metXS PP_5097	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	379	PP_5097	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-succinyl-L-homoserine from L-homoserine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00296}.	GO:0004414; GO:0005737; GO:0008899; GO:0009086; GO:0009092	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00296}.
Q88CY4	reviewed	THII_PSEPK	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI PP_5045	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	484	PP_5045	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00021}.	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0005829; GO:0009228; GO:0009229; GO:0052837; GO:0140741	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00021}.
